timestamp	context_type	group_type	algorithm	aggregation_method	@k	precision	recall	ndcg	
2022-06-18 01:03:23.001115	none	random_0	coclustering	maj	65	ukn	ukn	ukn	
2022-06-18 01:03:23.001147	none	random_0	coclustering	maj	70	ukn	ukn	ukn	
2022-06-18 01:03:23.001179	none	random_0	coclustering	maj	75	ukn	ukn	ukn	
2022-06-18 01:03:23.001210	none	random_0	coclustering	maj	80	ukn	ukn	ukn	
2022-06-18 01:03:23.001251	none	random_0	coclustering	maj	85	ukn	ukn	ukn	
2022-06-18 01:03:23.001292	none	random_0	coclustering	maj	90	ukn	ukn	ukn	
2022-06-18 01:03:23.001325	none	random_0	coclustering	maj	95	ukn	ukn	ukn	
2022-06-18 01:03:23.001357	none	random_0	coclustering	maj	100	ukn	ukn	err	
2022-06-18 01:03:23.118170	none	random_0	coclustering	mpl	5	0.35	0.5416666666666666	0.26779016664095817	
2022-06-18 01:03:23.118346	none	random_0	coclustering	mpl	10	0.3	0.75	0.22136039646642142	
2022-06-18 01:03:23.118475	none	random_0	coclustering	mpl	15	0.23333333333333334	0.875	0.18709569040093038	
2022-06-18 01:03:23.118570	none	random_0	coclustering	mpl	20	0.1875	0.9583333333333334	0.16000717837476972	
2022-06-18 01:03:23.118643	none	random_0	coclustering	mpl	25	ukn	ukn	ukn	
2022-06-18 01:03:23.118747	none	random_0	coclustering	mpl	30	ukn	ukn	ukn	
2022-06-18 01:03:23.118781	none	random_0	coclustering	mpl	35	ukn	ukn	ukn	
2022-06-18 01:03:23.118860	none	random_0	coclustering	mpl	40	ukn	ukn	ukn	
2022-06-18 01:03:23.118906	none	random_0	coclustering	mpl	45	ukn	ukn	ukn	
2022-06-18 01:03:23.118939	none	random_0	coclustering	mpl	50	ukn	ukn	ukn	
2022-06-18 01:03:23.118972	none	random_0	coclustering	mpl	55	ukn	ukn	ukn	
2022-06-18 01:03:23.119021	none	random_0	coclustering	mpl	60	ukn	ukn	ukn	
2022-06-18 01:03:23.119053	none	random_0	coclustering	mpl	65	ukn	ukn	ukn	
