timestamp	context_type	group_type	algorithm	aggregation_method	@k	precision	recall	ndcg	
2021-07-05 23:32:53.713860	none	random_0	baseline	lms	90	0.03555555555555555	0.01989189284673338	0.019053957016994697	
2021-07-05 23:32:53.714111	none	random_0	baseline	lms	95	0.037894736842105266	0.022987255014529105	0.018565946380311234	
2021-07-05 23:32:53.714375	none	random_0	baseline	lms	100	0.036000000000000004	0.022987255014529105	0.0181258996895409	
2021-07-05 23:32:56.881442	none	random_0	baseline	maj	5	0.12000000000000002	0.004085461177696717	0.11962363775388771	
2021-07-05 23:32:56.881664	none	random_0	baseline	maj	10	0.1	0.00829598749348619	0.09221946736540497	
2021-07-05 23:32:56.881917	none	random_0	baseline	maj	15	0.09333333333333334	0.011391349661281917	0.07777924751450158	
2021-07-05 23:32:56.882143	none	random_0	baseline	maj	20	0.1	0.015476810838978634	0.07015340216836599	
2021-07-05 23:32:56.882306	none	random_0	baseline	maj	25	0.08	0.015476810838978634	0.06242617055202069	
2021-07-05 23:32:56.882452	none	random_0	baseline	maj	30	0.06666666666666667	0.015476810838978634	0.05577386166080769	
2021-07-05 23:32:56.882591	none	random_0	baseline	maj	35	0.05714285714285714	0.015476810838978634	0.050218201124057706	
2021-07-05 23:32:56.882725	none	random_0	baseline	maj	40	0.05500000000000001	0.02881014417231197	0.045918023383236264	
2021-07-05 23:32:56.882893	none	random_0	baseline	maj	45	0.05333333333333333	0.02980024318221296	0.04222195671376433	
2021-07-05 23:32:56.883044	none	random_0	baseline	maj	50	0.048	0.02980024318221296	0.03924256324564585	
2021-07-05 23:32:56.883209	none	random_0	baseline	maj	55	0.04727272727272727	0.03079034219211395	0.03678272611858062	
2021-07-05 23:32:56.883369	none	random_0	baseline	maj	60	0.04666666666666667	0.03289560535000868	0.034715403264318	
2021-07-05 23:32:56.883505	none	random_0	baseline	maj	65	0.04307692307692308	0.03289560535000868	0.032834538301178814	
2021-07-05 23:32:56.883637	none	random_0	baseline	maj	70	0.04	0.03289560535000868	0.031124614439978437	
2021-07-05 23:32:56.883795	none	random_0	baseline	maj	75	0.037333333333333336	0.03289560535000868	0.02956855039156834	
2021-07-05 23:32:56.883955	none	random_0	baseline	maj	80	0.034999999999999996	0.03289560535000868	0.028149761601313716	
2021-07-05 23:32:56.884127	none	random_0	baseline	maj	85	0.03764705882352941	0.034875803369810665	0.026917823723515356	
2021-07-05 23:32:56.884273	none	random_0	baseline	maj	90	0.03777777777777778	0.035865902379711656	0.02589541892912494	
2021-07-05 23:32:56.884407	none	random_0	baseline	maj	95	0.037894736842105266	0.03685600138961265	0.02498672962113743	
2021-07-05 23:32:56.884539	none	random_0	baseline	maj	100	0.038	0.03784610039951363	0.024173351977187615	
2021-07-05 23:32:59.896363	none	random_0	baseline	mpl	5	0.12000000000000002	0.0036751132740392685	0.06339850002884626	
2021-07-05 23:32:59.896591	none	random_0	baseline	mpl	10	0.06000000000000001	0.0036751132740392685	0.05732100092732628	
2021-07-05 23:32:59.896797	none	random_0	baseline	mpl	15	0.05333333333333333	0.004665212283940258	0.046754584255851904	
2021-07-05 23:32:59.897092	none	random_0	baseline	mpl	20	0.05	0.005655311293841249	0.0419527057690649	
2021-07-05 23:32:59.897276	none	random_0	baseline	mpl	25	0.04	0.005655311293841249	0.03723510732307911	
2021-07-05 23:32:59.897420	none	random_0	baseline	mpl	30	0.039999999999999994	0.006645410303742239	0.03321553152389165	
2021-07-05 23:32:59.897557	none	random_0	baseline	mpl	35	0.03428571428571429	0.006645410303742239	0.030328764791536927	
2021-07-05 23:32:59.897690	none	random_0	baseline	mpl	40	0.03	0.006645410303742239	0.027802351842342865	
2021-07-05 23:32:59.897849	none	random_0	baseline	mpl	45	0.026666666666666665	0.006645410303742239	0.025612531521903383	
2021-07-05 23:32:59.898005	none	random_0	baseline	mpl	50	0.036	0.010730871481438956	0.024123116837726975	
2021-07-05 23:32:59.898156	none	random_0	baseline	mpl	55	0.03636363636363636	0.011720970491339945	0.02307753154027157	
2021-07-05 23:32:59.898310	none	random_0	baseline	mpl	60	0.04333333333333333	0.015806431669036662	0.02232074738694209	
2021-07-05 23:32:59.898457	none	random_0	baseline	mpl	65	0.046153846153846156	0.017786629688838644	0.02175971019828638	
2021-07-05 23:32:59.898596	none	random_0	baseline	mpl	70	0.04285714285714286	0.017786629688838644	0.02123524054239323	
2021-07-05 23:32:59.898731	none	random_0	baseline	mpl	75	0.04	0.017786629688838644	0.020660557382154315	
2021-07-05 23:32:59.898866	none	random_0	baseline	mpl	80	0.04	0.01989189284673338	0.020139118680448813	
2021-07-05 23:32:59.899016	none	random_0	baseline	mpl	85	0.03764705882352941	0.01989189284673338	0.019598518923029794	
